"# Weather station Nairobi (airport), Kenya, WMO_ID=63740,selection from 01.01.2016 till 31.12.2016, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=63740&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Nairobi (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
27.12.2016 21:00,19.0,,,,58,Wind blowing from the north-northeast,4,,,50%., ,,,,26.1,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,10.6,,,,,,
27.12.2016 15:00,25.5,,,,37,Wind blowing from the east,7,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,9.8,,,,,,
27.12.2016 09:00,20.0,,,,63,Wind blowing from the north-northeast,2,,,"10%  or less, but not 0", ,,,13.5,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.8,,,,,,
27.12.2016 03:00,14.6,,,,94,Wind blowing from the north,3,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,13.7,,,,,,
26.12.2016 21:00,18.7,,,,77,Wind blowing from the north-east,5,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,14.6,,,,,,
26.12.2016 15:00,24.2,,,,48,Wind blowing from the north-east,7,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.5,,,,,,
26.12.2016 09:00,18.0,,,,92,Wind blowing from the east-northeast,6,,,"90  or more, but not 100%",State of sky on the whole unchanged. ,Shower(s).,Rain.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",200-300,,,20.0,16.6,12,24,,,,
26.12.2016 03:00,17.8,,,,93,Wind blowing from the east,3,,,"90  or more, but not 100%",State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,30.0,16.7,Trace of precipitation,12,,,,
25.12.2016 21:00,20.5,,,,70,Wind blowing from the north-east,5,,,40%., ,,,,27.5,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.8,,,,,,
25.12.2016 15:00,26.5,,,,41,Wind blowing from the east-northeast,9,,,50%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.2,,,,,,
25.12.2016 09:00,20.0,,,,75,Wind blowing from the north-northeast,3,,,70 – 80%., ,,,14.0,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,Altocumulus translucidus at a single level.,,30.0,15.4,,,,,,
25.12.2016 03:00,15.3,,,,97,Wind blowing from the north-east,2,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,30.0,14.9,,,,,,
24.12.2016 21:00,17.0,,,,88,Wind blowing from the north-northeast,3,,,no clouds, ,,,,26.0,,,,,,30.0,14.9,,,,,,
24.12.2016 15:00,25.0,,,,51,Wind blowing from the east-northeast,11,,,70 – 80%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.2,,,,,,
24.12.2016 09:00,18.0,,,,94,Wind blowing from the north-east,5,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",300-600,,,30.0,17.0,,,,,,
23.12.2016 21:00,19.1,,,,73,Wind blowing from the east,10,,,"10%  or less, but not 0", ,,,,26.7,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.1,,,,,,
23.12.2016 15:00,26.0,,,,43,Wind blowing from the east-northeast,8,,,50%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.6,,,,,,
23.12.2016 09:00,18.2,,,,81,Wind blowing from the east-northeast,6,,,70 – 80%., ,,,15.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.9,,,,,,
23.12.2016 03:00,16.3,,,,100,Wind blowing from the north-northeast,3,,,"90  or more, but not 100%", ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90  or more, but not 100%",300-600,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",15.0,16.3,,,,,,
22.12.2016 21:00,17.7,,,,88,Wind blowing from the north-northeast,5,,,20–30%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.7,,,,,,
22.12.2016 15:00,18.3,,,,92,Wind blowing from the north-east,12,,,"90  or more, but not 100%", ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",70 – 80%.,600-1000,Altocumulus cumulogenitus (or cumulonimbogenitus).,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,16.9,1,6,,,,
22.12.2016 09:00,19.7,,,,79,Wind blowing from the east-northeast,7,,,"90  or more, but not 100%", ,,,16.4,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25.0,16.0,,,,,,
22.12.2016 03:00,16.7,,,,95,Wind blowing from the north,3,,,"90  or more, but not 100%", ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",60%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10.0,15.9,,,,,,
21.12.2016 21:00,19.0,,,,75,Wind blowing from the north-east,5,,,"10%  or less, but not 0", ,,,,27.1,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,14.4,,,,,,
21.12.2016 15:00,25.7,,,,42,Wind blowing from the north-northeast,6,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,11.8,,,,,,
21.12.2016 09:00,18.3,,,,82,Wind blowing from the north-east,3,,,"90  or more, but not 100%", ,,,15.3,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,15.1,,,,,,
21.12.2016 03:00,17.2,,,,90,Wind blowing from the north-northeast,3,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,,30.0,15.5,,,,,,
20.12.2016 21:00,21.3,,,,69,Wind blowing from the north-east,7,,,40%., ,,,,27.4,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,15.4,,,,,,
20.12.2016 15:00,26.8,,,,36,Wind blowing from the north-east,8,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,10.3,,,,,,
20.12.2016 09:00,20.4,,,,57,Wind blowing from the north-northeast,5,,,"10%  or less, but not 0", ,,,12.4,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",25.0,11.6,,,,,,
20.12.2016 03:00,15.0,,,,83,Wind blowing from the north,2,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,12.2,,,,,,
19.12.2016 21:00,19.2,,,,64,Wind blowing from the north-east,5,,,40%., ,,,,26.0,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,12.1,,,,,,
19.12.2016 15:00,26.0,,,,38,Wind blowing from the north-east,9,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,10.5,,,,,,
19.12.2016 09:00,20.0,,,,61,Wind blowing from the north-east,5,,,20–30%., ,,,12.5,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,12.3,,,,,,
19.12.2016 03:00,14.8,,,,91,Wind blowing from the north,3,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,13.3,,,,,,
18.12.2016 21:00,18.5,,,,79,Wind blowing from the north-northeast,5,,,20–30%., ,,,,27.0,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,14.8,,,,,,
18.12.2016 15:00,26.8,,,,37,Wind blowing from the north-east,9,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",35.0,11.0,,,,,,
18.12.2016 09:00,20.2,,,,75,Wind blowing from the north-northeast,4,,,"10%  or less, but not 0", ,,,14.1,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,15.5,,,,,,
18.12.2016 03:00,17.6,,,,92,Wind blowing from the north,2,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,30.0,16.2,,,,,,
17.12.2016 21:00,19.1,,,,74,Wind blowing from the north-northeast,5,,,no clouds, ,,,,28.3,,,,,,30.0,14.3,,,,,,
17.12.2016 15:00,27.8,,,,29,Wind blowing from the east-northeast,9,,,"90  or more, but not 100%", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,8.3,,,,,,
17.12.2016 09:00,20.2,,,,74,Wind blowing from the north-east,5,,,"10%  or less, but not 0", ,,,14.8,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,15.4,,,,,,
17.12.2016 03:00,16.2,,,,91,Wind blowing from the north,3,,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.7,,,,,,
16.12.2016 21:00,19.6,,,,72,Wind blowing from the north-east,4,,,20–30%., ,,,,27.5,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,14.4,,,,,,
16.12.2016 15:00,26.7,,,,45,Wind blowing from the east-northeast,5,,,50%., ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,13.8,,,,,,
16.12.2016 09:00,20.5,,,,73,Wind blowing from the north-northeast,3,,,40%., ,,,15.0,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,15.5,,,,,,
16.12.2016 03:00,17.8,,,,86,Wind blowing from the north-northeast,4,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,300-600,,,30.0,15.4,,,,,,
15.12.2016 21:00,18.8,,,,72,Wind blowing from the north-northeast,4,,,no clouds, ,,,,27.3,,,,,,30.0,13.6,,,,,,
15.12.2016 15:00,27.2,,,,34,Wind blowing from the north-east,6,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,10.0,,,,,,
15.12.2016 03:00,15.0,,,,93,Wind blowing from the north,2,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,13.8,,,,,,
14.12.2016 21:00,18.0,,,,78,Wind blowing from the east-northeast,5,,,40%., ,,,,25.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,14.1,,,,,,
14.12.2016 15:00,24.2,,,,44,Wind blowing from the north-east,8,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",35.0,11.2,,,,,,
14.12.2016 09:00,16.5,,,,94,Wind blowing from the north-east,5,,,"90  or more, but not 100%", ,,,14.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",200-300,,,20.0,15.5,,,,,,
14.12.2016 03:00,15.6,,,,93,Wind blowing from the east-northeast,4,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,14.5,,,,,,
13.12.2016 21:00,17.5,,,,87,Wind blowing from the north-northeast,4,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.",Cirrus spissatus cumulonimbogenitus.,30.0,15.3,,,,,,
13.12.2016 09:00,19.4,,,,79,Wind blowing from the east-northeast,8,,,70 – 80%., ,,,15.4,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,,,30.0,15.7,0.3,24,,,,
13.12.2016 03:00,16.2,,,,97,Wind blowing from the north-northeast,4,,,100%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,200-300,,,30.0,15.7,Trace of precipitation,6,,,,
12.12.2016 15:00,23.7,,,,65,Wind blowing from the north-east,7,,,70 – 80%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",50%.,600-1000,Altostratus opacus or Nimbostratus.,,30.0,16.8,0.3,6,,,,
12.12.2016 09:00,19.4,,,,81,Wind blowing from the east-northeast,6,,,"90  or more, but not 100%", ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,30.0,16.0,Trace of precipitation,6,,,,
11.12.2016 21:00,19.0,,,,79,Wind blowing from the north-east,5,,,20–30%., ,,,,26.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,15.2,,,,,,
11.12.2016 15:00,25.3,,,,47,Wind blowing from the east-northeast,7,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.1,,,,,,
11.12.2016 09:00,19.6,,,,83,Wind blowing from the north-northeast,4,,,"90  or more, but not 100%", ,,,15.6,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,30.0,16.7,,,,,,
11.12.2016 03:00,17.2,,,,90,Wind blowing from the north,2,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,15.6,,,,,,
10.12.2016 21:00,19.1,,,,76,Wind blowing from the east-northeast,5,,,50%., ,,,,25.4,Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,30.0,14.7,,,,,,
10.12.2016 15:00,25.2,,,,52,Wind blowing from the east,9,,,"90  or more, but not 100%", ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,"2500 or more, or no clouds.",,,30.0,14.5,,,,,,
10.12.2016 09:00,19.2,,,,89,Wind blowing from the north-northeast,3,,,60%., ,,,16.4,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,17.3,3,24,,,,
10.12.2016 03:00,17.4,,,,90,Wind blowing from the north-northeast,3,,,"90  or more, but not 100%", ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",70 – 80%.,300-600,,,10.0,15.8,,,,,,
09.12.2016 21:00,19.5,,,,71,Wind blowing from the north-east,6,,,20–30%., ,,,,,Stratocumulus cumulogenitus.,20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,14.1,,,,,,
